500.52	469.24	824.41	676.28	334.62	334.62	6.00	79.86	0.00	0.00	0.00	0.00	
552.46	530.25	981.79	700.64	812.36	815.18	6.25	90.86	0.00	0.00	0.00	0.00	
554.77	551.60	694.87	851.17	805.20	805.23	7.00	86.60	0.00	0.00	0.00	0.00	
624.20	544.83	770.07	852.73	1011.00	1011.47	7.00	88.47	0.00	0.00	0.00	0.00	
534.23	569.37	623.43	956.07	541.37	542.23	9.00	79.57	0.00	0.00	0.00	0.00	
502.80	486.07	985.77	777.03	318.97	319.67	11.23	65.67	0.00	0.00	0.00	0.00	
553.40	551.83	625.73	880.37	711.20	711.33	7.20	85.77	0.00	0.00	0.00	0.00	
678.43	672.47	750.27	948.03	1224.53	1224.63	7.00	88.43	0.00	0.00	0.00	0.00	
532.23	439.53	717.10	704.27	447.07	447.10	6.00	84.87	0.00	0.00	0.00	0.00	
549.43	429.10	749.20	676.17	465.53	465.53	5.23	85.83	0.00	0.00	0.00	0.00	
498.43	631.57	1066.37	876.83	354.27	354.43	12.93	62.87	0.00	0.00	0.00	0.00	
616.97	562.03	758.40	918.17	914.03	914.03	8.00	86.00	0.00	0.00	0.00	0.00	
515.47	627.20	667.87	1048.83	602.50	603.10	10.33	77.30	0.00	0.00	0.00	0.00	
639.37	680.80	730.73	929.50	1147.53	1147.60	6.70	89.60	0.00	0.00	0.00	0.00	
530.20	751.60	779.70	1151.10	518.13	518.87	14.57	62.23	0.00	0.00	0.00	0.00	
610.17	596.87	724.60	850.47	973.63	973.70	6.00	89.30	0.00	0.00	0.00	0.00	
647.87	491.80	767.63	724.37	1449.13	1485.83	5.17	88.77	0.00	0.00	0.00	0.00	
538.64	384.18	870.89	597.86	441.14	441.18	5.00	85.86	0.00	0.00	0.00	0.00	
520.37	689.47	713.43	1098.00	567.37	568.10	12.20	70.23	0.00	0.00	0.00	0.00	
526.53	546.03	677.80	910.30	598.63	599.10	9.03	81.87	0.00	0.00	0.00	0.00	
505.17	966.10	816.03	1176.67	442.80	444.27	15.00	59.73	0.00	0.00	0.00	0.00	
559.13	572.90	658.63	937.73	758.07	758.67	8.10	84.83	0.00	0.00	0.00	0.00	
525.50	474.37	855.37	641.97	452.47	452.53	5.00	84.73	0.00	0.00	0.00	0.00	
581.73	435.80	854.97	594.23	1982.23	1999.53	3.63	93.13	0.00	0.00	0.00	0.00	
578.23	620.87	933.27	879.43	563.43	564.10	11.03	73.17	0.00	0.00	0.00	0.00	
504.63	621.60	570.73	1008.23	469.40	470.57	9.93	76.27	0.00	0.00	0.00	0.00	
502.50	886.10	756.17	1117.73	389.97	393.40	14.13	56.97	0.00	0.00	0.00	0.00	
554.77	225.60	1680.30	369.63	1566.90	1730.47	4.50	93.97	0.00	0.00	0.00	0.00	
550.77	497.97	668.70	836.40	615.10	615.23	8.00	82.87	0.00	0.00	0.00	0.00	
542.48	377.84	821.48	549.48	1782.52	1902.24	3.48	93.88	0.00	0.00	0.00	0.00	
594.14	425.36	920.43	609.39	1962.68	1989.04	4.00	92.86	0.00	0.00	0.00	0.00	
