1.50	21.00	45.00	
1.74	21.00	46.00	
2.07	21.07	46.00	
2.24	23.48	44.86	
1.93	24.00	43.03	
1.93	23.63	43.77	
2.23	23.00	44.00	
1.97	23.00	43.79	
1.88	23.00	43.54	
2.27	23.00	43.00	
2.63	23.00	44.00	
1.78	23.00	44.00	
1.78	22.00	44.00	
0.67	22.00	46.77	
0.23	22.00	47.47	
0.00	22.00	49.00	
4.33	10.67	74.00	
3.67	11.00	71.27	
2.50	8.17	86.50	
4.34	7.86	87.59	
3.37	8.00	85.83	
2.70	7.23	86.07	
3.90	6.97	87.90	
6.50	5.47	90.53	
5.87	4.53	93.07	
7.23	4.53	92.23	
8.17	4.00	93.03	
4.53	4.27	90.90	
5.73	2.69	92.88	
5.14	2.00	95.43	
5.36	1.00	95.73	
3.89	1.00	95.89	
4.20	0.47	96.33	
4.30	0.00	96.67	
6.57	0.93	97.80	
8.53	2.70	98.90	
9.03	4.67	93.90	
9.40	5.37	90.60	
9.37	6.57	86.47	
6.47	9.83	71.63	
5.86	9.14	68.24	
13.63	5.73	83.10	
14.97	3.62	89.76	
25.72	2.83	92.72	
54.97	2.00	94.55	
48.77	1.53	95.00	
54.90	1.77	96.30	
55.80	2.93	95.43	
68.83	2.21	95.07	
61.03	2.00	95.63	
52.55	2.90	95.21	
36.86	3.00	94.95	
29.53	2.53	94.63	
24.17	1.09	94.78	
20.76	0.00	95.65	
20.69	0.00	96.69	
16.35	0.19	97.15	
3.14	2.72	88.83	
3.07	4.07	82.55	
3.73	5.33	76.73	
8.20	6.00	77.03	
9.66	5.83	79.07	
7.93	5.57	78.60	
6.79	6.00	74.38	
9.43	6.00	76.63	
6.40	5.83	76.80	
6.70	5.00	89.20	
6.57	5.03	95.17	
9.83	6.00	96.60	
5.87	5.23	94.63	
9.30	5.00	95.67	
8.70	5.10	97.83	
3.60	6.53	98.43	
1.17	7.47	96.70	
0.68	8.00	96.00	
1.69	8.00	97.00	
1.93	8.00	95.66	
1.73	8.07	93.20	
2.13	9.00	90.37	
3.07	9.23	88.83	
3.30	10.40	88.20	
3.15	10.00	88.23	
3.55	8.64	100.50	
3.53	8.53	98.23	
5.70	8.00	98.63	
6.07	8.00	99.00	
7.27	8.00	99.00	
7.03	8.38	99.00	
4.37	8.00	99.00	
4.92	8.00	99.00	
3.70	7.00	97.60	
1.07	6.45	97.52	
1.27	6.03	95.90	
1.40	6.27	93.90	
1.00	7.00	90.27	
0.93	7.03	88.33	
0.97	7.83	86.37	
0.97	7.10	85.73	
1.03	7.00	84.63	
4.90	6.07	85.20	
12.50	5.47	86.80	
8.70	4.77	89.20	
10.97	4.00	91.50	
7.57	4.73	87.80	
14.30	5.00	89.23	
17.13	5.97	93.73	
11.93	6.00	93.11	
13.21	5.55	92.07	
12.00	3.63	93.00	
15.70	2.39	96.26	
8.23	2.81	96.46	
3.71	3.00	96.00	
3.00	4.00	90.60	
6.67	4.00	88.33	
5.97	4.00	88.63	
4.89	4.93	86.32	
6.47	6.00	83.03	
8.00	6.67	81.33	
7.53	7.00	79.23	
8.27	7.00	79.70	
9.50	6.67	78.47	
21.87	6.00	82.33	
18.03	6.00	84.30	
25.90	5.80	85.90	
27.03	5.00	87.07	
17.87	5.00	86.70	
23.57	4.47	89.13	
33.23	4.00	92.57	
43.27	4.00	92.80	
37.76	3.31	93.38	
38.77	3.00	95.50	
38.11	3.00	95.00	
14.63	3.17	94.00	
11.20	4.00	94.07	
6.48	4.00	95.59	
4.67	4.00	96.90	
2.73	4.97	97.33	
2.97	5.47	96.90	
2.33	6.10	96.67	
1.53	7.00	94.80	
1.33	7.60	92.63	
3.77	7.00	96.33	
3.50	7.00	96.47	
7.20	6.17	97.60	
