322.63	1141.37	123.4	2650.57	27.33	34.53	40.6	47.97	2433.73	800.33	120	8.07
354.2	347.87	836.2	1316.17	20.77	23.9	30	75	1935.4	665.9	109.5	8.63
342.6	367.93	799.1	1438.9	12.73	15.5	32	74.53	1236.8	396.13	75.43	8.1
345.83	385.9	814.03	1443.83	19.17	22.87	31	71.93	1741.87	591.83	103.5	9.53
355.97	354.6	780.13	1376.27	27.47	31.87	31	72.17	2531.8	890.37	139.93	10.37
359.4	323.97	815.37	1246.1	20.57	24.37	30	80.97	1885.13	665.8	116.6	11.6
81.57	343.5	804.1	1292.83	20.47	23.6	30.07	74.3	1883.3	663.13	111.6	9.6
270.57	1075.37	53.83	2859.23	24.3	32.17	43.07	43.23	2178.03	694.97	107.53	7.67
344.77	1227.3	25.57	2612.27	37.4	47.47	38.97	53.1	3146.1	1104.9	171.63	11.47
335.13	357.87	794.93	1504	16.6	20.1	32.33	66.57	1545.87	506.77	92.37	8.63
364.93	321.9	806.17	1189.47	26.77	30.6	29	78.73	2425.13	871.5	146.73	12.27
353.63	407.37	795.8	1547.5	15.83	19.17	32	68.93	1492.5	491.2	89.57	8.03
74.9	444.63	758.97	1436.07	37.23	45.23	32.5	71.43	3179.7	1175.37	191.8	15.3
357.67	364.97	771	1275.57	27.43	31.17	30.03	75.97	2548.83	905.47	143.37	10.33
279.83	1033.93	211	2740.63	29.27	38.7	40.67	50.63	2610.33	866.57	129.33	10.9
288.5	1171.03	71.2	2901.57	32.3	42.4	42	47.97	2834.13	935.7	139.07	10.57
325.3	653.93	562.7	2015.1	20.63	25.7	35	57.1	1878.7	625.8	105.43	10.03
350.93	337.17	779.93	1331.67	14	17.2	31.03	71.63	1286.97	428.07	88.83	10.6
355.47	369.77	798.8	1307.8	21.77	24.6	30	76.7	2013.87	703.77	117.17	9.67
351.77	404.43	735.03	1509.27	15.93	19.63	33	66.33	1414.03	477.63	93.03	9.17
296.93	888.57	194.73	2368.47	16.93	22.57	38.7	51.53	1564.53	494.47	86.67	8.8
344.2	357.4	798.93	1456.57	18.83	22.5	32	69.87	1753.4	594.37	101.5	9.13
274.03	647.2	516.6	2184.47	7.83	9.53	40.97	43.6	903.13	214.63	37.03	3.5
308.1	1337.1	81.57	2794.73	27.5	35.4	41.27	48.2	2544.6	823.63	114.6	7.7
345.6	471.77	716.73	1567.63	25.67	31.8	32.2	67.53	2237.1	805.13	141.03	13.17
352.9	371.07	780.6	1403.57	25.9	30.57	31.57	70.97	2333.57	821.4	135.1	10.5
353.53	384	793.03	1353.83	10.5	12.03	33.23	61.1	1084	324.27	60.9	5.43
351.65	930.76	270.21	2291.15	27.15	34.41	37.79	56.03	2450.06	831.35	125.18	9.91
346.37	446.1	702.2	1680.2	23.23	28.47	33.83	60.43	1998.33	697.37	117.57	9.2
358.37	863.1	369.27	1977.8	26.67	33.37	36.5	60	2372.2	814.17	126.7	10.6
360.3	777	436.9	1936.5	26.8	32.97	35.47	62.13	2414.63	837.8	129.33	11.13
365.97	579.13	573.37	1675.87	28.4	34.93	35.03	65.2	2511.73	885.77	143	12.33
354.53	298.1	818.83	1198.73	15.1	17.63	30.23	74.8	1364.43	467.77	92.7	8.97
365.63	384.9	793.37	1259.07	26.77	31.5	29.87	79.5	2421.8	874.6	146	12.27
280.1	610.93	580.7	2162.87	12.87	17.07	38.17	54.1	1231.8	371.33	69.47	7.83
345.53	372.1	792.77	1479.77	17.03	20.5	32	68.83	1604.03	534.43	94.23	8.17
360.73	315.9	809.87	1094.03	17.47	20.03	29.47	78.67	1651.27	568.7	101.03	8.53
270.97	830.77	336.4	2564.43	13.97	19.17	41.33	45.9	1292.4	375.3	71.77	8.03
325.5	486.1	656.47	1833.4	14.13	18.57	34.4	66.7	1254.63	405.7	86.07	10.13
310.64	793.48	345.88	2210.08	15.2	20.88	37.52	55.92	1424.28	447.88	85.04	10
363.57	296.13	823.83	1094.27	19.07	22.57	29	79.97	1716.97	601.87	114.57	11.33
332.33	624	581.73	1816.8	8.53	10.73	37.33	49.7	960.03	253.5	47.27	5.47
353.4	884.53	233.3	2233.57	26.33	33.03	38.3	54.6	2291.53	772.87	124	8.9
369.2	327.73	813.27	1210.8	29.7	34.83	30.27	76.9	2635.87	952.5	158.63	13.33
358.9	242.97	856.4	1077.77	15.1	16.97	30	76.97	1480.13	501.2	90.6	7.7
294.63	1050.3	36.93	2707.27	23.6	30.73	41.17	46.63	2072.07	670.1	105.57	8.3
369.37	588.3	647.33	1656.33	32.4	39.7	33.8	68.17	2805.07	1011.27	166.07	14.5
332.73	1302.83	24	2779.4	33.07	42.43	41.07	48.97	2855.77	966.6	147.9	10
291.97	811.77	406.1	2463.7	24.03	30.9	38.83	53.57	2186.97	714.6	111.63	9.7
345.47	285.6	859.07	1164.1	7.63	8.6	30	71.13	877	238.63	47.83	4.57
355.6	206.9	910.1	1014.13	12.67	15.33	29	77.2	1207.1	395.2	81.07	8.8
360.83	348.27	783.23	1262.1	25.73	30.27	30	78.67	2233.3	802.93	142.47	12.77
339.9	436.27	788.17	1511.67	13.23	17.3	32.47	72.47	1215.4	387	82.87	9.43
294.73	472.3	553.2	1978.33	6.7	8	39.83	44.27	806.83	185.83	32.83	3.1
335	436.53	756.87	1602.17	14.63	18.07	32.57	67.67	1375.43	442.83	82.73	7.93
350.23	383.6	835	1423.43	16.77	20.3	31.9	73.83	1591.53	529.03	94.23	9.43
369.3	457.2	727.4	1466.9	29.5	35.43	33.43	70.47	2603.03	931.8	151	12.47
