"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"5059","XH8082016050300141","407.83","679.93","639.4","749.9","140.23","157.17","26","87","2017/5/23","16328.93","7322.03","1582.3","71.67"
"5060","XH8082016050300141","434.43","1091.47","159.17","1289.33","129.8","142.43","25","87.33","2017/5/21 19:00:00","16267.87","7015.33","1416.4","55.67"
"5061","XH8082016050300141","397.87","758.73","468.13","855.93","67.33","73.07","25","78.1","2017/5/19 21:00:00","8759.47","3432.33","784.5","27.53"
"5062","XH8082016050300141","385.23","480.17","734.63","473.73","29.23","29.7","24.7","83.97","2017/5/25 5:00:00","3468.6","1174.67","418.2","6.03"
"5063","XH8082016050300141","398.33","1170.23","65.97","1276.37","172.93","194.57","25.23","89.37","2017/5/21 16:00:00","19443","9121.57","1950.9","91.9"
"5064","XH8082016050300141","418.37","625.77","595.97","745.7","168.43","191.53","23","88.53","2017/5/20 10:00:00","18266.53","8655.63","1972.2","105.83"
"5065","XH8082016050300141","410.63","550.2","720.6","559.3","29.03","29.6","25.63","84.97","2017/5/24 20:00:00","3454.93","1087.83","417.83","6.43"
"5066","XH8082016050300141","392.53","549.97","663.27","585.57","33.9","34.57","26","85.67","2017/5/24 14:00:00","4167.13","1377.37","457.2","5.9"
"5067","XH8082016050300141","462.6","534.6","847.17","597.43","139.4","159.57","26.03","88.87","2017/5/23 9:00:00","16217.3","7201.2","1606.17","80.43"
"5068","XH8082016050300141","384.7","535.27","675.53","532.17","28.07","28.37","24","83.33","2017/5/25 6:00:00","3353.2","1097.7","403.2","5.7"
"5069","XH8082016050300141","409.57","526.37","726.77","547.97","30.97","32.1","26","85.23","2017/5/24 22:00:00","3637.53","1214.4","437.17","8.6"
"5070","XH8082016050300141","402.9","513.9","743.4","524.47","32.87","33.87","25","85","2017/5/25 1:00:00","3939.63","1336.97","452.93","8.07"
"5071","XH8082016050300141","411.53","622.1","642.5","697.93","122.17","134.8","24","84.1","2017/5/20 5:00:00","15479.23","6636.2","1344.33","58.77"
"5072","XH8082016050300141","402.3","1081.2","109.7","1248.23","126.4","138.03","25","89.33","2017/5/21 17:00:00","15553.2","6739.23","1407.9","53.77"
"5073","XH8082016050300141","414.43","787.5","489.2","851.87","90.37","99.47","26","85.57","2017/5/22 13:00:00","12199.63","4816.37","1012.3","40.3"
"5074","XH8082016050300141","415.3","684.5","714.5","786.07","106.07","122.87","28.6","84.07","2017/5/23 11:00:00","13010.77","5396.43","1215.17","62.73"
"5075","XH8082016050300141","390.67","513.67","732.6","519.03","30.8","30.93","25","84.2","2017/5/25","3624","1199.2","429.03","5.17"
"5076","XH8082016050300141","420.83","568.1","702.97","576.17","52.17","54.17","25.73","89.37","2017/5/24 9:00:00","6831.73","2515.87","632.43","13.23"
"5077","XH8082016050300141","398.3","574.3","637.63","615.43","30.27","30.5","24.4","88.23","2017/5/24 12:00:00","3696.1","1161.77","426.63","5.93"
"5078","XH8082016050300141","383.9","521.9","702.07","509.6","31.53","31.8","25","84.37","2017/5/25 4:00:00","3783.6","1259","430.53","4.7"
"5079","XH8082016050300141","416.33","1243.7","105.7","1321.37","89.67","110.67","32.2","80.27","2017/5/23 17:00:00","11121.9","4197.47","935.07","44.37"
"5080","XH8082016050300141","405.33","498.9","740.5","544.3","158.23","176.43","25","90.33","2017/5/23 7:00:00","18276.23","8326.23","1761.4","79.93"
"5081","XH8082016050300141","405.3","708.1","544.43","824.27","101.2","111.4","25.63","85.73","2017/5/22 12:00:00","13071.67","5281.73","1130.67","47.4"
"5082","XH8082016050300141","411.07","851.93","404.87","937.57","117.33","133.4","27","84.8","2017/5/22 17:00:00","13850.97","6082.4","1351.5","67.07"
"5083","XH8082016050300141","402.77","1070.97","219.13","1188.53","83.57","101","32","80.17","2017/5/23 15:00:00","10964.07","3983.47","863.33","35.43"
"5084","XH8082016050300141","408.1","771.07","543.8","802.4","100.47","111.43","26","84.97","2017/5/21 11:00:00","12049.33","5233.9","1186.3","49.97"
"5085","XH8082016050300141","397.87","586.83","659.9","597.93","34.77","35.43","26","84.8","2017/5/24 15:00:00","4467.37","1451.67","462.5","6.97"
"5086","XH8082016050300141","396.4","506.8","693.5","517.77","29.37","30.2","24","84.2","2017/5/25 7:00:00","3416.27","1136.63","416.5","7.37"
"5087","XH8082016050300141","408","524.83","708.1","534.7","34.63","35.2","26","91.03","2017/5/24 8:00:00","4290.13","1390.77","459.8","6.37"
"5088","XH8082016050300141","394.8","532","708.2","551.7","82.43","89.73","26.77","92.1","2017/5/24 4:00:00","10413.5","4146.5","964.03","33.63"
"5089","XH8082016050300141","437.1","638.13","637.83","662.77","31.27","32.83","25.63","80.37","2017/5/25 9:00:00","4093.03","1219.2","432.77","10.8"
"5090","XH8082016050300141","400.47","578.93","692.37","602.83","53.37","56.13","27","91.73","2017/5/23 23:00:00","7463.77","2572.3","635.33","16.43"
"5091","XH8082016050300141","408.43","922.53","309.7","951.6","34.97","37.1","30.3","70.1","2017/5/25 12:00:00","4399.13","1421.97","453.83","8.27"
"5092","XH8082016050300141","391.7","493.5","751.67","490.53","31.27","32.13","25","84.2","2017/5/25 2:00:00","3743.03","1251.67","437.43","7.93"
"5093","XH8082016050300141","437.1","650.23","640.23","674.5","30.87","32.17","25.07","85.17","2017/5/24 19:00:00","3832.53","1187","435.53","9.47"
"5094","XH8082016050300141","404.93","544.07","735.4","552.77","30.73","31.77","25.73","85.1","2017/5/24 23:00:00","3633.2","1199.77","436.03","8.07"
"5095","XH8082016050300141","400.77","755.23","459.83","869.17","85.47","92.57","24.83","80.83","2017/5/19 23:00:00","11136.37","4491.77","967.7","36"
"5096","XH8082016050300141","388.87","489.73","748.27","526.87","103.13","113.73","25.5","88.63","2017/5/23 5:00:00","12445.67","5328.2","1187.17","47.6"
"5097","XH8082016050300141","429.67","629.4","611.03","769.1","153.57","171.63","25","86.17","2017/5/20 22:00:00","17776.3","8138.63","1734.53","78.3"
"5098","XH8082016050300141","420.97","1168.83","86.3","1298.23","107.07","116.43","25","88.13","2017/5/21 18:00:00","13991.43","5729.33","1187.63","43.77"
"5099","XH8082016050300141","396.03","541.1","723.07","583.63","125.63","137.53","24","82.33","2017/5/20 4:00:00","15458.17","6757.5","1385.7","55.8"
"5100","XH8082016050300141","393.43","575.13","715.8","616.87","54","56.43","27","91.77","2017/5/24","7138.73","2562.93","643.77","14.47"
"5101","XH8082016050300141","404","508.67","745.37","547.7","104.77","116.4","25","88.6","2017/5/23 4:00:00","12563.23","5355.03","1225.63","53.2"
"5102","XH8082016050300141","409.07","603.7","652","706.1","206.87","238.6","24","90.27","2017/5/21 7:00:00","21410.13","10424.23","2401.37","132.3"
"5103","XH8082016050300141","401.93","938.43","290","978.93","55.5","59.37","26.17","75.3","2017/5/19 19:00:00","7296.47","2679.5","659.63","20.53"
"5104","XH8082016050300141","413.93","1057.7","125.43","1087.73","44.37","47.63","27","71.83","2017/5/19 18:00:00","6068.7","2003.13","546.7","16.67"
"5105","XH8082016050300141","385.77","677.23","569.03","714.43","134.6","151.6","24","90.63","2017/5/22","14815.37","6900.3","1596.37","73.73"
"5106","XH8082016050300141","423.13","725.27","626.13","770.47","168.93","196.17","26","86.2","2017/5/22 20:00:00","18335.17","8709","1962.77","106.07"
"5107","XH8082016050300141","402.43","824.97","358.5","938","72.43","78.47","25","80.37","2017/5/19 22:00:00","9581.33","3747.47","838.77","31.07"
"5108","XH8082016050300141","428.03","717.77","489.37","856.83","150.23","167.03","25","85","2017/5/20 19:00:00","16853.73","7873.87","1700.83","76.57"
"5109","XH8082016050300141","402.37","630.83","662.57","696.33","123.83","137.77","26","87","2017/5/23 1:00:00","14918.7","6483.23","1401.43","58.9"
"5110","XH8082016050300141","410.03","755.33","491.93","894.8","212.9","241.2","25","90","2017/5/21 22:00:00","22831.5","11034.5","2407.5","124.4"
"5111","XH8082016050300141","429.97","758.8","611.33","794.9","152.87","179.07","26.57","85.8","2017/5/22 19:00:00","16147.9","7687.77","1834.6","103.8"
"5112","XH8082016050300141","407.1","1026.77","239.33","1102.1","133.33","149.23","27","84.1","2017/5/21 14:00:00","15529.87","7033.27","1516.17","65.07"
"5113","XH8082016050300141","386.2","545.13","657.67","614.77","109.87","121.6","24","90.5","2017/5/22 1:00:00","12892.4","5703.93","1280.03","54.03"
"5114","XH8082016050300141","418.43","680","539.83","736.4","112.07","122.53","24","86.5","2017/5/20 13:00:00","13070.93","5829.23","1297.37","51.43"
"5115","XH8082016050300141","409.47","1203.3","127.17","1292.77","92.5","111.77","32","80.17","2017/5/23 16:00:00","11773.4","4409.3","943.33","41.03"
"5116","XH8082016050300141","387.83","483.67","748.93","471.83","30.47","30.87","25","84.1","2017/5/25 3:00:00","3656.33","1214.4","425.17","5.63"
"5117","XH8082016050300141","409.73","950.87","289.43","1113.3","136.77","154","26.93","84.37","2017/5/21 15:00:00","16341.37","7289.23","1525.97","66.9"
"5118","XH8082016050300141","420","679.5","544.5","824.67","156.47","176.27","25","86.03","2017/5/20 21:00:00","17757.2","8238.63","1771","85.2"
"5119","XH8082016050300141","422.9","548.67","746.9","565.4","31.6","32.63","25.93","84.93","2017/5/24 21:00:00","3711.03","1230.63","445.47","8.2"
"5120","XH8082016050300141","396.43","812.1","439.8","863.47","78.9","86.3","26.37","84.93","2017/5/22 14:00:00","10680.83","4104.73","894.5","32.47"
"5121","XH8082016050300141","394.97","924.2","240.37","978.9","54","57.67","29","73.27","2017/5/19 15:00:00","7676.73","2633.33","632.47","18.03"
"5122","XH8082016050300141","420.93","675.1","639.97","739.03","171.2","197.3","26","86.83","2017/5/22 21:00:00","18206.63","8727.03","2000.83","104.47"
"5123","XH8082016050300141","388.13","606.3","666.37","570.83","43.27","44.83","28.03","86.7","2017/5/23 21:00:00","5943.97","1982.87","530.6","9.93"
"5124","XH8082016050300141","409.8","505.63","726.77","553.1","192.6","219.37","25","85.7","2017/5/21 1:00:00","19595.33","9667.5","2205.93","110.3"
"5125","XH8082016050300141","404.27","849.87","362.33","882.4","34.87","37.47","29.63","70.93","2017/5/25 13:00:00","4412.27","1448.63","461.83","9.83"
"5126","XH8082016050300141","422.13","734.9","457.3","886.9","140.03","154.93","25","85","2017/5/20 18:00:00","15691.43","7289.6","1582.27","65.37"
"5127","XH8082016050300141","431.2","835.4","490.4","930.17","116.57","131","27","85","2017/5/22 18:00:00","14129.97","6123.73","1322.13","59.47"
"5128","XH8082016050300141","393.63","903.3","268.5","970.47","45","47.43","28.17","71.23","2017/5/19 16:00:00","6238.27","2036.6","549.27","14.33"
"5129","XH8082016050300141","385.2","497.23","730.93","528.13","109.87","121.97","25","89.5","2017/5/23 6:00:00","13310.1","5694.03","1252.13","50.9"
"5130","XH8082016050300141","409.73","669.13","629.77","747.57","103.83","114.43","26","85.57","2017/5/21 10:00:00","12503.97","5395.53","1206.4","49.87"
"5131","XH8082016050300141","398.87","714.77","547.53","725.03","38.47","41.07","29.83","70.77","2017/5/25 16:00:00","4842.87","1613.73","472.73","7.93"
"5132","XH8082016050300141","399.2","690.83","551.23","684.97","39.4","41.4","29","72.2","2017/5/25 17:00:00","5163.13","1723.7","489.8","7.63"
"5133","XH8082016050300141","517.23","503.93","793.13","610.13","138.3","159.13","20","91","2017/3/19 19:00:00","14196.3","6723.4","1658.93","96.13"
"5134","XH8082016050300141","477.5","460.1","768.77","538.2","73.53","77.9","20","91.67","2017/3/19 13:00:00","8554.6","3602.23","876.63","30.17"
"5135","XH8082016050300141","456.3","560.3","679.6","641.5","210.13","247.13","19","89.97","2017/3/18 14:00:00","19379.33","9927.57","2522.5","167.63"
"5136","XH8082016050300141","479.97","443.9","786.27","520.13","179.77","222","20","91.97","2017/3/20 1:00:00","16198.23","8242.23","2294.37","180.13"
"5137","XH8082016050300141","482.97","558.4","645.97","679.17","82.4","90","19","92.03","2017/3/18 22:00:00","9466.87","4037.97","977.57","41.2"
"5138","XH8082016050300141","446.93","637.43","590.21","768.43","116.86","129.93","21","89.07","2017/3/22 16:00:00","12643.29","5918.21","1384.64","64.93"
