"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"42","XH8082016072000558","348.2","1824.03","21","1150.1","13.27","16.2","35.47","21.53","2017/7/12 20:00:00","1431.17","470.37","85.53","9.1"
"43","XH8082016072000558","378.73","986.47","491.87","686.3","29","33.6","25.37","52.93","2017/7/14 7:00:00","2546.6","1032.47","194.07","20.97"
"44","XH8082016072000558","363.87","2023","21","1604.67","20.97","25.47","33.43","28.23","2017/7/14 13:00:00","1963.23","743.63","134.5","13.83"
"45","XH8082016072000558","382.5","801.47","464.4","656.1","21.07","26.9","23","36.43","2017/7/11 7:00:00","1617.13","707.97","176","26.07"
"46","XH8082016072000558","351.87","965.97","375.77","745.9","19.53","23.8","24.47","48.57","2017/7/15 5:00:00","1641.57","672.17","148.1","19.43"
"47","XH8082016072000558","336.73","1768.37","22.2","1185.57","6.63","8.9","38.03","14.47","2017/7/10 18:00:00","714.5","234.5","52.7","7"
"48","XH8082016072000558","356.37","1628.93","49.23","1075.17","17.63","19.77","32.73","27.17","2017/7/12 22:00:00","1709.23","636.93","103.37","8.8"
"49","XH8082016072000558","357.37","1162.5","354.93","787.6","34.2","36.83","25.47","52.4","2017/7/13 5:00:00","3166.03","1267.97","207.63","16.2"
"50","XH8082016072000558","342.37","1254.87","84.97","1007.47","7","7.43","28","25.13","2017/7/10","1553.5","166","33.7","3.83"
"51","XH8082016072000558","342.93","1255.13","92.53","998.03","7.3","8.3","29","24.13","2017/7/9 22:00:00","1590.87","223.8","48.57","5.83"
"52","XH8082016072000558","343.93","1685.47","20.5","1171.1","8.77","11.7","34.23","17.7","2017/7/10 19:00:00","828.17","300.77","70.1","9.9"
"53","XH8082016072000558","362.83","950.33","283.37","797.03","8.63","11.03","24.87","32.27","2017/7/10 6:00:00","784.6","305.97","75.73","11.83"
"54","XH8082016072000558","340.6","2222.03","20.83","1294.43","7.53","9.2","43.23","11.8","2017/7/12 17:00:00","860.47","283.1","56.6","6.87"
"55","XH8082016072000558","338.47","2144.8","21.07","1382.17","8.57","10.53","41.97","10.73","2017/7/11 18:00:00","939.6","308.67","60.97","7.53"
"56","XH8082016072000558","353.97","1028.07","188.27","826.83","6.63","8.37","26.53","28.77","2017/7/10 3:00:00","683.3","245.43","54.2","8"
"57","XH8082016072000558","357.37","1383.4","76.6","1058.37","10.23","12.37","31.8","19.73","2017/7/10 21:00:00","1029.23","348.67","74.77","9.87"
"58","XH8082016072000558","396.5","814.27","440.37","677.43","24.23","31.87","23.17","37.3","2017/7/11 8:00:00","1808.87","798.53","201.57","30.67"
"59","XH8082016072000558","355.7","1814.47","21.13","1440.57","9.67","11.77","31.73","21.5","2017/7/10 13:00:00","917.6","315.9","72.1","9.33"
"60","XH8082016072000558","354.07","1518.17","20.67","1146.87","10.97","13.67","32.9","19.03","2017/7/10 20:00:00","1042.5","374.93","82.5","10.17"
"61","XH8082016072000558","375.3","1057.53","399.83","765.07","32.5","34.07","24.03","52.03","2017/7/13 7:00:00","2985.9","1198.43","201.4","14.4"
"62","XH8082016072000558","368.6","802.53","449.5","629.73","21.3","27.57","23.83","35.2","2017/7/11 6:00:00","1619.83","707.47","175.43","25.9"
"63","XH8082016072000558","363.73","859.73","426.1","655.57","24.43","36.6","24.83","33.33","2017/7/11 5:00:00","1586.13","747.7","232.67","45.6"
"64","XH8082016072000558","344.37","1128.17","151.9","909.6","4.77","5.9","27.87","26.1","2017/7/10 1:00:00","659.03","180.23","40.2","6.07"
"65","XH8082016072000558","382.4","960.47","258.7","855.3","16.37","19.73","24.93","33.8","2017/7/10 8:00:00","1305.67","553.23","129.2","15.8"
"66","XH8082016072000558","393.53","2238.3","21.07","1990.9","31.9","37.47","33.1","30.6","2017/7/14 11:00:00","2879.23","1106.4","197.47","20.97"
"67","XH8082016072000558","406.77","1594.53","41.7","1374.57","30.67","40","30.93","28.57","2017/7/12 10:00:00","2471.23","1023.83","228.33","31.07"
"68","XH8082016072000558","357.6","1369.6","191","895.93","29","32.47","30.37","40.07","2017/7/13","2747.63","1052.7","171.4","13.67"
"69","XH8082016072000558","361.67","1187.3","214.2","902.8","13.13","15.03","29.83","22.27","2017/7/10 23:00:00","1510.33","411.47","81.6","9.77"
"70","XH8082016072000558","357.23","1277.57","177.3","969.07","15.77","18.4","27.37","40.53","2017/7/14 23:00:00","1404.53","549.8","113.43","11.73"
"71","XH8082016072000558","387.57","1872.53","20.97","1676.93","18.37","22.33","28.9","27.9","2017/7/10 10:00:00","1530.83","617.67","136.47","17.23"
"72","XH8082016072000558","365.57","1489.1","30.57","1155.1","16","19.5","25.37","51","2017/7/14 19:00:00","1360.47","553.33","125.4","15.93"
"73","XH8082016072000558","357.2","1085.7","272.2","843.77","16.57","19.37","26.13","46.53","2017/7/15 1:00:00","1442","584.9","122.57","14.57"
"74","XH8082016072000558","381.83","908.5","283.37","792.07","10.13","13.7","24","33.93","2017/7/10 7:00:00","827.73","337.8","89.93","13.47"
"75","XH8082016072000558","381.27","1820.23","21.77","1328.03","38.57","43.2","32.1","37.07","2017/7/13 12:00:00","3645.9","1401.7","223.97","16.77"
"76","XH8082016072000558","347.6","1792.4","62.53","1174.6","21.47","25.07","35.7","23.67","2017/7/13 20:00:00","2157.77","794.77","128.73","10.5"
"77","XH8082016072000558","357.6","1339.07","114.4","1037.6","12.9","14.63","27.87","38.13","2017/7/14 22:00:00","1217.93","459.93","91.87","9.53"
"78","XH8082016072000558","362.63","919.47","412.07","721.73","17","20.9","23.67","52.13","2017/7/15 6:00:00","1411.77","583.23","132.63","18.37"
"79","XH8082016072000558","343.47","1347.07","44.37","1034.23","7.73","9.2","29.97","23.8","2017/7/9 21:00:00","1044.23","230.47","55.03","7.63"
"80","XH8082016072000558","369.77","870.3","443.5","704.37","19.53","23.87","23","54.13","2017/7/15 7:00:00","1633.7","685.23","154.93","20.57"
"81","XH8082016072000558","351.43","1918.63","20.63","1358.63","11.93","14.77","37.9","12.77","2017/7/11 19:00:00","1198.87","431.97","82.6","9.07"
"82","XH8082016072000558","372.17","914.83","412.9","682.53","20.4","28.47","25.3","35.23","2017/7/12 6:00:00","1570.43","668.87","170.5","28.07"
"83","XH8082016072000558","381.1","883.8","472.43","659.17","19.7","25.77","25","38.03","2017/7/12 7:00:00","1537.33","653.7","160.07","24.5"
"84","XH8082016072000558","352.63","1186.17","341.6","809.63","24.53","27.07","27.67","45.53","2017/7/14 3:00:00","2259.5","878.53","151.9","13.07"
