"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"5080","XH808A416102800769","379.8","600.63","409.4","745","110.17","144.83","7.1","14.77","2017/2/20 17:00:00","13397.43","5310.93","281.07","25.37"
"5081","XH808A416102800769","540.9","562.83","724.83","754","608.24","683.55","3.83","41.93","2017/2/12 19:00:00","41146.79","24512.07","3469.79","151.17"
"5082","XH808A416102800769","687.59","546.55","623.76","682.31","886.52","938.38","1","78.55","2017/2/16","55028.07","31762.14","5316.79","192.52"
"5083","XH808A416102800769","452.83","536.9","573.93","689","297.63","381.53","2.97","40.67","2017/2/14 19:00:00","27096.93","11206.5","1632.23","91.13"
"5084","XH808A416102800769","680.7","547.27","573.13","698.67","516.63","640.97","-1.83","79.13","2017/2/15 8:00:00","39117.43","17774.93","2890.17","146.57"
"5085","XH808A416102800769","418.8","529.4","553.33","692.03","104.63","203.73","0.77","25.6","2017/2/20 19:00:00","6977.93","3148.37","707.47","58.27"
"5086","XH808A416102800769","376.5","615.53","382.5","760.53","135.1","135.93","7.93","13.97","2017/2/20 15:00:00","15858","6259.37","222.17","4.97"
"5087","XH808A416102800769","471.93","507.66","538.24","656.93","326.07","352.14","-1","76.38","2017/2/15","30789.86","12209.55","1600.97","72.93"
"5088","XH808A416102800769","509.47","538.4","705.23","703.63","452.8","477.37","1.93","56.17","2017/2/12 20:00:00","35677.9","19281.9","2259.83","85.4"
"5089","XH808A416102800769","614.76","698.31","823.72","924.07","250.72","252.17","8.55","34.86","2017/2/13 13:00:00","24741.66","10283.66","937.07","33.69"
"5090","XH808A416102800769","391.9","541.9","468.73","663.97","2000","2000","-0.83","30.33","2017/2/20 5:00:00","10755.13","2850.67","146.13","14.37"
"5091","XH808A416102800769","398.28","545.17","446.14","665.45","2000","2000","0","30.1","2017/2/20 4:00:00","12458.31","3981.21","226.17","23.62"
"5092","XH808A416102800769","628.1","598.34","977.41","785.86","426.17","435.66","3.76","65.93","2017/2/15 11:00:00","38253.17","17273.55","2150.03","74.07"
"5093","XH808A416102800769","412.33","641.3","544.7","707.97","110.17","155.27","5.27","38.8","2017/2/16 13:00:00","13619.97","5007.17","414.93","39.77"
"5094","XH808A416102800769","388.28","615.9","496.97","775.93","190.83","202.93","10.59","18.66","2017/2/19 18:00:00","16690.45","7601.79","672.55","29.66"
"5095","XH808A416102800769","563.97","444.4","646.93","505.83","392.3","448.03","-2.63","83.2","2017/2/13 4:00:00","32065.23","13590.7","2128.4","97.3"
"5096","XH808A416102800769","627.43","578.43","608.03","745.37","595.53","622","1","78.6","2017/2/16 7:00:00","43683.4","21714.3","3393.8","123.67"
"5097","XH808A416102800769","527.38","469.45","649.07","598.41","222.59","233.62","-2","64.17","2017/2/11 23:00:00","21652.24","7573.24","1155.07","47.03"
"5098","XH808A416102800769","531.57","494.9","589.93","610.73","334.43","352.1","-1","77.97","2017/2/15 2:00:00","30365.07","12131.33","1672.23","68.47"
"5099","XH808A416102800769","656.97","480.1","630.24","580.38","440.24","505.21","-2","78.9","2017/2/15 7:00:00","36346.59","16061.55","2277.66","108.93"
"5100","XH808A416102800769","476.73","569.4","361.37","731.73","234.53","244","5.63","57.6","2017/2/13 18:00:00","23768.77","9098.3","1127.57","44.93"
"5101","XH808A416102800769","564.73","485.8","689.97","591.2","433.73","454.93","0","78.87","2017/2/19 8:00:00","32442.27","16345.6","2373.33","87.27"
"5102","XH808A416102800769","590","691.23","733.4","915.13","409.7","411.73","12.3","41.5","2017/2/19 14:00:00","29596.27","14652.47","1627.83","38.17"
"5103","XH808A416102800769","661.17","461.07","661.6","549.03","394.67","447.53","-1.8","77.7","2017/2/15 6:00:00","33591.37","14422.3","2016.5","94.43"
"5104","XH808A416102800769","547.37","487.5","538.87","603.3","373.07","454.27","-4","80.73","2017/2/14 7:00:00","31198.73","12745.27","1914.43","101.03"
"5105","XH808A416102800769","581.9","565.55","446.97","737.14","477.59","650.62","-3.79","81.86","2017/2/14 8:00:00","36967.38","16559.21","2618.76","156.55"
"5106","XH808A416102800769","687.55","423.24","640.55","491.66","432.28","583.93","-3","84.52","2017/2/13 6:00:00","35496","15041.76","2347.24","140.62"
"5107","XH808A416102800769","379.52","588.03","405.62","722.9","90","90.48","4.59","12.28","2017/2/17 18:00:00","12585.55","4467.1","263.21","10.07"
"5108","XH808A416102800769","430.97","516.45","450.79","678.72","117.86","119.14","-1","55.14","2017/2/17 22:00:00","14231.31","4995.07","421.31","16.21"
"5109","XH808A416102800769","448.86","558.79","555.59","726.52","224.59","224.93","1.41","63.38","2017/2/13 20:00:00","23970.76","8454.34","1070.38","37.17"
"5110","XH808A416102800769","541.93","476.27","641.43","604.1","203.5","223.33","-4","72.1","2017/2/12 5:00:00","19921.33","6751.4","1023.47","45.03"
"5111","XH808A416102800769","642.86","506.14","634.24","636.93","446.52","504.83","-1.1","82.72","2017/2/13 9:00:00","36485.45","16151.52","2404.66","109.86"
"5112","XH808A416102800769","463.28","529.69","667.86","689.31","310.07","345.24","1.55","52.14","2017/2/14 20:00:00","28376.83","11692.79","1604.52","71.76"
"5113","XH808A416102800769","714.1","575.86","631.1","736.03","635.52","646.97","1.69","78.17","2017/2/16 6:00:00","45739.72","23281.21","3647.76","121.34"
"5114","XH808A416102800769","648.1","619.7","798.33","810.17","417.23","420.4","6.47","61.7","2017/2/19 11:00:00","30639.8","15704.07","2179.57","54.2"
"5115","XH808A416102800769","504","480.17","593.17","584.67","316.2","343.2","-1","76.27","2017/2/15 1:00:00","28795","11258.67","1594.2","68.93"
"5116","XH808A416102800769","828.83","604.47","1113.97","807.3","229.7","235.57","2.87","56.73","2017/2/12 11:00:00","25250.13","9192.37","1028.9","40.63"
"5117","XH808A416102800769","454.37","542.13","600.87","697.97","207.57","212.63","0.13","66.47","2017/2/13 21:00:00","22682.7","7685.4","962.27","36.5"
"5118","XH808A416102800769","547.87","480.73","539.97","594.9","370.3","370.33","0","80.97","2017/2/19 1:00:00","30698.63","15055.23","1793.17","46.07"
"5119","XH808A416102800769","381.03","631.34","437.93","755.48","121.52","150.69","7.76","18.34","2017/2/19 20:00:00","13629.17","5761.38","352.17","29.41"
"5120","XH808A416102800769","557.79","705.93","720.57","930.18","238.25","251.25","9.71","31.39","2017/2/13 14:00:00","23889.86","9467.64","825.54","34.07"
"5121","XH808A416102800769","382.9","607.87","325.2","742.27","2000","2000","1.27","20.87","2017/2/20 11:00:00","11748.53","3365.83","156.1","7.87"
"5122","XH808A416102800769","386.48","568.28","411.59","701.97","2000","2000","-1.62","27.97","2017/2/20 8:00:00","13051.03","3903.45","161.76","17.31"
"5123","XH808A416102800769","417.7","482.77","574.7","583.27","63.63","74.93","-3.6","40.73","2017/2/17 6:00:00","8936.17","2447.73","219.37","15.13"
"5124","XH808A416102800769","389.13","610.57","361.67","750.17","905.37","905.37","4.13","17.43","2017/2/20 13:00:00","13067.23","4097.7","152.37","5.33"
"5125","XH808A416102800769","389.87","540.83","490.93","655.37","74.5","121.97","0","28.3","2017/2/20 2:00:00","11388.6","3286.87","226","33.97"
"5126","XH808A416102800769","677.5","520.8","619.87","660.13","381.73","443.3","-1","77.93","2017/2/15 5:00:00","32872.03","13854.77","1970.57","96.13"
"5127","XH808A416102800769","394.6","599.4","376.53","738.37","96.37","112.1","4.93","17.83","2017/2/19 22:00:00","12634.33","4653.13","307.67","23.2"
"5128","XH808A416102800769","381.33","598.37","344","729.03","2000","2000","-0.03","23.57","2017/2/20 9:00:00","9875.53","2436.83","116.3","11.83"
"5129","XH808A416102800769","418.9","607","448","744.9","105.1","107.93","3","48.62","2017/2/16 17:00:00","12954.86","5395.9","328.97","19.31"
"5130","XH808A416102800769","571.03","500.13","592.67","615","347.17","403.03","-1","77.87","2017/2/15 3:00:00","30719.8","12617.2","1775.63","89.37"
"5131","XH808A416102800769","571.13","483.33","696.13","614.3","263.57","292.27","-3.97","74.07","2017/2/12 8:00:00","24155.77","8731.33","1369.8","61.53"
"5132","XH808A416102800769","572.97","495.86","598.59","613.66","357.83","357.83","0","80.38","2017/2/19 2:00:00","31923.1","15439.83","1585","42.24"
"5133","XH808A416102800769","639.59","681.31","974.97","916.69","249.17","257.93","6.97","40.14","2017/2/12 13:00:00","25504.07","10154.31","1019.28","38.45"
"5134","XH808A416102800769","418.28","708.03","468.79","925.21","169.55","172.55","8.86","32.52","2017/2/14 14:00:00","19355.03","6999.9","562.86","17.28"
"5135","XH808A416102800769","510.24","701.55","651.76","932.31","412.38","416.07","13.17","36.28","2017/2/19 15:00:00","27999.52","14296.31","1678.52","38.38"
"5136","XH808A416102800769","380.13","540.93","437.23","654.73","405.27","435.57","0","29.27","2017/2/20 3:00:00","10923.37","3218.8","220.87","27.7"
"5137","XH808A416102800769","399.57","555.47","459.57","680.87","2000","2000","-2","29.6","2017/2/20 7:00:00","11164.53","2921.57","148.43","16.8"
"5138","XH808A416102800769","373.97","623.55","296.83","751.34","1895.24","1895.28","2.9","18.76","2017/2/20 12:00:00","13792.45","4469.72","152.24","6.55"
"5139","XH808A416102800769","445.17","565.13","467.6","715.13","149.47","169.1","2.27","49.7","2017/2/16 18:00:00","15864.67","7196.83","596.17","33.67"
"5140","XH808A416102800769","471.97","734.72","867.83","963.17","299.86","316.38","11","26.52","2017/2/12 16:00:00","25762.93","12069.07","1068.31","33.86"
"5141","XH808A416102800769","394.6","624.83","344.77","738.93","2000","2000","0.17","21.8","2017/2/20 10:00:00","10885.5","2918.6","168.9","13.77"
"5142","XH808A416102800769","476.5","459.5","586.47","560.13","198.6","199.87","-1","82.13","2017/2/13","21080","7376","915.97","32.83"
"5143","XH808A416102800769","382.97","613.3","319.1","714.63","69.47","111.53","1.97","22.07","2017/2/20","10387.97","3163.63","226.63","31.3"
"5144","XH808A416102800769","626.6","468.5","683.5","568.53","389.83","397.6","0.67","77.93","2017/2/19 4:00:00","30833.33","15916.7","1987.87","71.17"
"5145","XH808A416102800769","543.14","479.17","627.41","582.9","346.79","347.03","0","79.97","2017/2/19 6:00:00","29755.03","14562.97","1633.66","54.17"
"5146","XH808A416102800769","381.1","558.93","425.6","689.17","2000","2000","-1.37","29.6","2017/2/20 6:00:00","11760.4","3245.7","124","10.73"
"5147","XH808A416102800769","449.17","624.34","600.07","795.76","218.66","262.69","6.17","33.66","2017/2/14 18:00:00","23028.79","8495.86","1005.31","59.97"
"5148","XH808A416102800769","562.17","512.66","632.28","645.93","294.83","333.48","-2","71.38","2017/2/18 6:00:00","21751.03","10742.21","1644.28","70.86"
"5149","XH808A416102800769","502.9","699.07","490.77","952.13","573.67","603.6","10","53.87","2017/2/15 17:00:00","40345.73","20440.07","2506.87","79.77"
"5150","XH808A416102800769","469.83","559.66","541.93","732.1","272.28","281.14","2.83","63.59","2017/2/13 19:00:00","27118","10452.21","1379.66","50.86"
"5151","XH808A416102800769","399.43","557.97","510.77","690.47","59.33","65.63","-0.2","33.73","2017/2/17 2:00:00","9479.57","2696.47","152.53","12.17"
"5152","XH808A416102800769","476.07","530.97","543.77","674.1","232.6","285.67","-2","71.07","2017/2/18 5:00:00","19328.17","8631.73","1231.53","65.87"
