"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A416102800749","368.37","1268.53","0.8","1133.4","131.67","159.8","29.67","80.23","2017/7/12 23:00:00","14881.93","6368.63","1076.8","79.9"
"2","XH808A416102800749","423.83","1057.07","212.33","1017.3","132.17","210.23","25","80.57","2017/7/11 3:00:00","11883.77","5684.97","1493.27","216.87"
"3","XH808A416102800749","331.3","1568.13","-540.67","1353.6","58.13","88.03","37.87","57.3","2017/7/13 15:00:00","6114.47","2456.63","456.17","49.57"
"4","XH808A416102800749","437.1","1021.57","267.03","909.4","167.33","207.27","29.43","83.97","2017/7/14 2:00:00","17789.73","7967.4","1430.57","113.17"
"5","XH808A416102800749","406.67","1103.07","299.77","1021.67","94.07","137.1","28.77","76.67","2017/7/12 3:00:00","9727.03","4291.8","906.03","111.57"
"6","XH808A416102800749","378.83","1704.43","-763.53","1477.73","59.5","89.13","36.67","53.57","2017/7/11 17:00:00","5978.4","2475.93","461.23","46.37"
"7","XH808A416102800749","363.33","1017.8","459.3","946.17","67.8","96.87","33.33","71.73","2017/7/13 8:00:00","7465.63","3035.33","567.83","59.83"
"8","XH808A416102800749","395.63","1657.37","-507.7","1457.07","82.27","124.37","38.5","47.8","2017/7/11 13:00:00","7781.1","3310.43","626.3","57.4"
"9","XH808A416102800749","339.17","1391.73","-65.07","1294.23","68.33","118.77","29.47","62.97","2017/7/10 22:00:00","5992.93","2834.53","793.43","123"
"10","XH808A416102800749","407.77","1062.73","411.5","969.33","85.5","115.77","32.9","68.97","2017/7/12 8:00:00","9397.87","3909.63","693.1","61.8"
"11","XH808A416102800749","514.4","1063.5","134.5","1010.63","36.3","59.83","27.6","65.3","2017/7/14 6:00:00","3571.27","1582.87","430.33","63.17"
"12","XH808A416102800749","386.13","1186.9","61","1098.73","151.53","287.7","27.03","73.2","2017/7/11","10694.87","5651.77","1855.7","328.1"
"13","XH808A416102800749","401.73","976.47","360.23","899.6","79.23","108.77","30","78.83","2017/7/13 4:00:00","8955.23","3739.33","719.8","75.97"
"14","XH808A416102800749","437.77","1076.53","113","962.73","113.5","142.03","28.5","77.37","2017/7/14 4:00:00","12185.87","5454.77","976.77","80.4"
"15","XH808A416102800749","382.73","1337.63","-2.17","1225.4","134.57","175.13","31","74.63","2017/7/11 22:00:00","14566.7","6340.5","1130","98.87"
"16","XH808A416102800749","501.27","897.87","413.5","833.73","189.17","228.63","29","82.57","2017/7/15 4:00:00","20204.93","9134.6","1611","115.47"
"17","XH808A416102800749","416.43","1390.57","137.5","1300.7","34.6","62.1","37.73","45.47","2017/7/14 12:00:00","2885.83","1236.63","316.23","43.67"
"18","XH808A416102800749","332.07","1333.33","-83.57","1219.2","74.93","99.77","32.07","71.87","2017/7/14 21:00:00","8567.33","3518.57","619.9","55.33"
"19","XH808A416102800749","277.83","1506.13","-149.23","1326.37","47.03","69.83","37.23","49.13","2017/7/10 14:00:00","4894.53","1997.9","379.2","38.67"
"20","XH808A416102800749","475.4","1519.57","-91.1","1400.77","95.27","134.5","36.87","54.37","2017/7/11 11:00:00","9665.4","4040.17","700.13","57.33"
"21","XH808A416102800749","448.9","1353.93","190.7","1266.13","72.97","103.33","35.1","55.53","2017/7/11 10:00:00","7502.17","3141.13","588.3","55.27"
"22","XH808A416102800749","426.6","994.27","292.23","948.3","120.17","176.6","24.73","81.57","2017/7/11 4:00:00","11608.47","5313.9","1270.93","158.9"
"23","XH808A416102800749","353.77","1223.83","70.37","1103.07","125.63","182.97","30","79.3","2017/7/12","12510.93","5615.87","1204.43","139.67"
"24","XH808A416102800749","336.37","1507.67","-438.63","1306.5","51.1","81.1","38.37","45.33","2017/7/11 14:00:00","4808.37","1994.57","400.17","42.47"
"25","XH808A416102800749","375.63","1757.07","-495.63","1563.97","42.07","72.63","39.23","40.5","2017/7/14 16:00:00","3532.53","1522.93","358.27","42.53"
"26","XH808A416102800749","386.03","1042.67","285.77","1021.73","59.4","85.8","30.33","61.23","2017/7/10 9:00:00","5891.03","2601","580.2","66.67"
"27","XH808A416102800749","400.3","1679.1","-836.03","1436.6","71.13","107.57","37.7","51.1","2017/7/11 15:00:00","6992.5","2904.1","536.1","53.4"
"28","XH808A416102800749","401.23","1086.63","239.07","970.43","160.47","199.2","30","82.7","2017/7/14 1:00:00","17488.77","7707.3","1349.67","103.4"
"29","XH808A416102800749","361.67","1615.7","-640.4","1420.47","95.17","119","33.43","69.87","2017/7/13 19:00:00","11053.87","4505.93","704.8","49.1"
"30","XH808A416102800749","355.63","1156","266.1","1057.93","57.13","76.27","34","68.17","2017/7/13 9:00:00","6688.17","2652.6","440.77","41.17"
"31","XH808A416102800749","344.5","1314.1","-65.9","1203.93","60.47","80.27","34.97","65.27","2017/7/13 10:00:00","6910.53","2717.43","442.27","37.03"
"32","XH808A416102800749","338.3","1174.3","154.9","1037.13","71.97","101.5","31","76.07","2017/7/13 21:00:00","8162.27","3361.87","640.6","70.87"
"33","XH808A416102800749","353.9","1131.37","155.87","1001.83","122.67","175.5","30.3","80.47","2017/7/13 23:00:00","12528.33","5519.13","1148.07","133.9"
"34","XH808A416102800749","559.4","1021.03","287.8","952.97","173.3","218.67","29","81.97","2017/7/15 2:00:00","18217.57","8212.9","1495.63","121.17"
"35","XH808A416102800749","264.93","1486.77","-51.6","1292.9","43.4","64.6","38.53","44.87","2017/7/10 15:00:00","4374.07","1766.9","326.43","31.97"
