"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"12110","XHPRO1582A","4.36","79","73","14","119","164","2017/2/12 7:00:00"
"12111","XHPRO1582A","0.897","24","10","99","6","45","2017/2/10 13:00:00"
"12112","XHPRO1582A","1.005","62","25","59","19","80","2017/2/10 18:00:00"
"12113","XHPRO1582A","0.835","49","16","79","18","45","2017/2/11 18:00:00"
"12114","XHPRO1582A","2.649","132","114","17","234","346","2017/2/11 20:00:00"
"12115","XHPRO1582A","7.179","85","69","14","217","328","2017/2/12 5:00:00"
"12116","XHPRO1582A","6.775","101","","39","182","280","2017/2/12 12:00:00"
"12117","XHPRO1582A","1.534","66","22","42","18","56","2017/2/10 6:00:00"
"12118","XHPRO1582A","1.102","63","24","48","38","67","2017/2/11 1:00:00"
"12119","XHPRO1582A","4.899","80","70","14","132","206","2017/2/12 6:00:00"
"12120","XHPRO1582A","6.007","78","82","15","179","264","2017/2/12 8:00:00"
"12121","XHPRO1582A","2.226","96","33","21","28","89","2017/8/24 21:00:00"
"12122","XHPRO1582A","1.396","53","20","61","15","80","2017/2/9 23:00:00"
"12123","XHPRO1582A","1.278","36","19","85","15","60","2017/2/10 11:00:00"
"12124","XHPRO1582A","1.461","83","35","31","53","88","2017/2/10 23:00:00"
"12125","XHPRO1582A","5.603","80","99","53","38","108","2017/2/11 11:00:00"
"12126","XHPRO1582A","0.797","25","10","103","14","42","2017/2/11 16:00:00"
"12127","XHPRO1582A","4.227","97","73","14","162","284","2017/2/11 23:00:00"
"12128","XHPRO1582A","3.332","96","170","69","171","223","2017/2/12 14:00:00"
"12129","XHPRO1582A","2.855","78","102","97","136","228","2017/2/12 15:00:00"
"12130","XHPRO1582A","1.073","59","17","45","19","51","2017/2/10 4:00:00"
"12131","XHPRO1582A","3.115","108","108","19","129","258","2017/2/11 9:00:00"
"12132","XHPRO1582A","7.945","86","83","15","234","369","2017/2/12 4:00:00"
"12133","XHPRO1582A","0.906","44","19","60","23","24","2017/2/10 1:00:00"
"12134","XHPRO1582A","1.759","75","46","43","20","112","2017/2/10 9:00:00"
"12135","XHPRO1582A","0.675","22","8","98","10","51","2017/2/10 16:00:00"
"12136","XHPRO1582A","1.33","97","41","22","44","114","2017/2/10 21:00:00"
"12137","XHPRO1582A","1.296","86","30","25","22","57","2017/2/11 4:00:00"
"12138","XHPRO1582A","2.448","96","70","18","35","88","2017/2/11 7:00:00"
"12139","XHPRO1582A","1.361","32","18","97","25","53","2017/2/11 14:00:00"
"12140","XHPRO1582A","2.84","108","104","14","194","306","2017/2/11 21:00:00"
"12141","XHPRO1582A","7.503","98","94","14","166","287","2017/2/12 2:00:00"
"12142","XHPRO1582A","0.73","55","19","58","34","68","2017/8/24 19:00:00"
"12143","XHPRO1582A","1.231","54","22","51","13","36","2017/2/10 2:00:00"
"12144","XHPRO1582A","1.169","99","47","26","40","95","2017/2/10 19:00:00"
"12145","XHPRO1582A","3.02","67","60","64","36","68","2017/2/11 12:00:00"
"12146","XHPRO1582A","1.134","104","35","32","35","93","2017/2/11 19:00:00"
"12147","XHPRO1582A","1.594","74","21","35","28","102","2017/8/24 20:00:00"
"12148","XHPRO1582A","0.814","23","9","100","3","44","2017/2/10 14:00:00"
"12149","XHPRO1582A","1.1","65","24","48","33","53","2017/2/11 2:00:00"
"12150","XHPRO1582A","0.776","31","11","97","16","44","2017/2/11 17:00:00"
"12151","XHPRO1582A","0.942","28","12","93","8","58","2017/2/10 12:00:00"
"12152","XHPRO1582A","2.633","91","85","37","95","181","2017/2/11 10:00:00"
"12153","XHPRO1582A","1.025","53","23","55","24","80","2017/2/10"
