"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","TEMPERATURE","HUMIDITY","RECEIVETIME","PM05N","PM1N","PM25N","PM10N"
"1","XH808A417061802923","426.47","1043.37","1179.77","1289.73","57.97","66.83","25.2","71.87","2017/9/11 12:00:00","4433.93","2021.6","452.97","34.57"
"2","XH808A417061802923","454","1671.63","1194.87","2046.5","87","98.3","30.13","61.07","2017/9/13 15:00:00","6847.33","3139.07","656.77","42.77"
"3","XH808A417061802923","420.3","1260.5","1303.5","1571.47","22.87","25.33","29.07","63.33","2017/9/11 15:00:00","2216.67","852.77","169.8","10.8"
"4","XH808A417061802923","438.73","699.23","1241.47","839.33","80.33","91.83","21","80.87","2017/9/12 3:00:00","6138.9","2762.7","591.97","42.93"
"5","XH808A417061802923","445.8","667.1","1215.9","807.77","76.27","86.77","20","82.1","2017/9/12 6:00:00","5952.9","2663.13","566.07","40.33"
"6","XH808A417061802923","417.93","1197.1","1061.27","1448","20.17","23.53","26.37","62.97","2017/9/14 10:00:00","1955.1","726.4","152.97","13.93"
"7","XH808A417061802923","416.63","1249.83","1089.43","1435.53","42.8","48.97","24.07","64.63","2017/9/14 21:00:00","3683.4","1564.57","318.1","23.03"
"8","XH808A417061802923","449.77","903.53","1285.7","1116.23","64.77","76.73","23.43","74.77","2017/9/11 22:00:00","4970.77","2220.63","498.17","45.5"
"9","XH808A417061802923","413.33","1192.93","1075.4","1372.4","44.4","49.87","23.43","66.8","2017/9/14 22:00:00","3753.37","1591.47","323.97","21.67"
"10","XH808A417061802923","497","702.2","1226.1","811.73","106.77","137.07","22","85","2017/9/11 2:00:00","6257.8","3280.4","949.63","109.2"
"11","XH808A417061802923","421.53","1341","1088.47","1554.83","43.5","50.33","25","64","2017/9/14 20:00:00","3595.8","1555","328.43","26.37"
"12","XH808A417061802923","416.13","1126.37","1047.93","1315.63","44.17","50.43","24.63","68.57","2017/9/15 10:00:00","3758.93","1586.03","323.1","24.1"
"13","XH808A417061802923","404.9","1379.87","1048.8","1636.97","8.1","9.4","28.77","55.17","2017/9/14 12:00:00","1009.8","290","64.57","7.17"
"14","XH808A417061802923","435.67","1657.93","1068.93","1994.7","85","96.33","29.33","62.07","2017/9/13 13:00:00","6710.17","3053.9","637.93","42.57"
"15","XH808A417061802923","462","698.63","1205.63","814.43","96.9","121.43","22","84.97","2017/9/11 3:00:00","5904.33","3017.77","841.27","88.67"
"16","XH808A417061802923","437.77","1619.33","1125.27","1968.03","90.7","102.83","29.6","61.5","2017/9/13 14:00:00","7114.07","3254.93","682.53","45.47"
"17","XH808A417061802923","419.48","939.41","1070","1058.55","93.93","107.55","21.34","73.45","2017/9/15 3:00:00","7085.48","3259.21","688.69","48.86"
"18","XH808A417061802923","402.23","1339.83","1061.77","1578.33","18.6","20.87","27.8","60.67","2017/9/15 12:00:00","1901.23","684.87","134.47","9.57"
"19","XH808A417061802923","444.9","884.3","1196.97","1056.27","133.07","154.07","23.4","77.9","2017/9/13 9:00:00","9447.07","4566.1","1012.63","74.93"
"20","XH808A417061802923","412.7","860.33","1073.67","980.7","47.7","55.4","21","74.73","2017/9/14 3:00:00","3751.97","1653.47","364.03","28.43"
"21","XH808A417061802923","419.9","878.33","1078.07","987.97","103.03","117.7","21","75.17","2017/9/15 4:00:00","7621.37","3540.3","760.13","52.43"
"22","XH808A417061802923","407.27","739.03","1073.53","838.63","41.47","47.93","19.17","78.5","2017/9/14 6:00:00","3422.97","1443.07","307.6","24.7"
"23","XH808A417061802923","422.17","822.1","1079.4","918.73","116.73","134.07","20","79.1","2017/9/15 6:00:00","8466.37","3990.63","868","61.73"
"24","XH808A417061802923","443.07","724.53","1181.03","843.8","113.2","143.53","21.93","84.9","2017/9/11 4:00:00","6570.83","3454.5","999.57","107.8"
"25","XH808A417061802923","422.8","802.9","1089.2","933.83","44.5","51.3","20.67","75.83","2017/9/14 8:00:00","3727.3","1573.37","323.7","25.4"
"26","XH808A417061802923","420.47","952.03","1092.3","1092.5","86.37","97.7","22","71.8","2017/9/15 2:00:00","6672.43","3044.3","630.37","43.23"
"27","XH808A417061802923","426.1","1785.87","1304.63","2206.67","35.27","39.5","32","57.27","2017/9/12 16:00:00","3151.8","1267.47","253.9","17.57"
"28","XH808A417061802923","421.57","1586.87","1205.87","1987.77","33.57","38","30.87","60.37","2017/9/12 13:00:00","3057.67","1238.13","246.23","16.47"
"29","XH808A417061802923","422.7","783.87","1084.53","893.97","120.8","139.17","20","80","2017/9/15 7:00:00","8832.43","4154.93","888.73","66.63"
"30","XH808A417061802923","440.13","681.8","1225.9","817.63","73.4","83.37","21","81.17","2017/9/12 4:00:00","5703.97","2548.17","535.73","36.67"
"31","XH808A417061802923","415.6","1668.7","1112.57","1974.2","20.37","23.67","28.73","59.13","2017/9/14 18:00:00","2062.43","758.47","153.67","13.5"
"32","XH808A417061802923","429.83","1195.53","1216.03","1499.57","46.83","52.33","27.73","65.7","2017/9/12 10:00:00","4017.97","1698.7","339.03","21.17"
"33","XH808A417061802923","429.67","751.53","1156.13","872.33","119.53","146.3","21.67","83.17","2017/9/11 7:00:00","7481.53","3807.53","993.47","95.37"
"34","XH808A417061802923","430.73","1738.77","1253.97","2138.57","39.83","45.37","30.63","60.9","2017/9/12 18:00:00","3552.53","1467.5","296.9","22.07"
"35","XH808A417061802923","436.27","742.7","1170.57","867.43","141.23","174.4","21.2","83.97","2017/9/11 8:00:00","8572.93","4437.1","1186.3","118.6"
"36","XH808A417061802923","437.9","1688.37","1237.5","2073.43","86.97","98.27","30.63","61.37","2017/9/13 16:00:00","6967.67","3178.33","651.1","43.07"
"37","XH808A417061802923","413.47","730.27","1055.73","823.67","48.3","55.53","19","79.87","2017/9/14 7:00:00","3939.43","1699.83","354.97","27.17"
"38","XH808A417061802923","413.47","1545.77","1041.63","1841.27","9.93","11.8","29","54.37","2017/9/14 13:00:00","1210.93","375.3","78.97","7.97"
"39","XH808A417061802923","420.13","995.27","1073.7","1193.4","32.43","37.17","23.5","68.7","2017/9/14 9:00:00","2940.83","1184.73","235.27","18.67"
"40","XH808A417061802923","419.5","1411.93","1404.27","1782.6","23.03","25.57","31","60.7","2017/9/11 17:00:00","2262.67","858.83","166.9","10.6"
"41","XH808A417061802923","423.5","1048.5","1074.47","1219.97","69.83","79.33","22.7","73.4","2017/9/14","5268.5","2409.7","520.53","36.6"
"42","XH808A417061802923","431.53","765.27","1210.93","903.37","51.37","58.8","22","84.37","2017/9/10 23:00:00","3875.6","1743","395.73","29.97"
"43","XH808A417061802923","454.33","734.67","1179.6","867.67","111.6","140.67","22","83.97","2017/9/11 5:00:00","6548.73","3442.63","982.13","104.03"
"44","XH808A417061802923","426.77","1083.73","1348.57","1333.27","36.7","42.5","25.67","68.17","2017/9/11 20:00:00","3173.67","1317.73","278.53","22.77"
"45","XH808A417061802923","426.47","741.4","1164.07","862.87","104.97","128.43","22","83.4","2017/9/11 6:00:00","6590.43","3345.77","882.03","85.37"
"46","XH808A417061802923","432.83","762.5","1178","911.3","110.47","132.73","22.13","82.17","2017/9/11 9:00:00","7158.9","3568.9","895.1","79.13"
"47","XH808A417061802923","500.37","702.33","1361.47","850.13","99.43","115.6","22","80.03","2017/9/12 1:00:00","7597.9","3459.6","739.83","59.27"
"48","XH808A417061802923","403.07","1695.27","1268.8","1996.37","12.73","14.43","31","55.53","2017/9/15 17:00:00","1492.03","478.93","93","8.17"
"49","XH808A417061802923","438.37","738.27","1214.03","868.3","141.53","162.5","21","80.23","2017/9/13 7:00:00","10055.5","4826.53","1050.67","74.9"
"50","XH808A417061802923","414.8","1700.03","1089.13","2015.43","16.13","18.43","30","55.83","2017/9/14 15:00:00","1743.1","607.63","120.6","10.2"
"51","XH808A417061802923","401.53","1504.93","1181.07","1764.17","19.23","21.47","29.73","58.93","2017/9/15 14:00:00","2011.43","723.23","139.73","9.77"
"52","XH808A417061802923","404.87","1647.57","1240.83","1912.67","16.13","18.63","29.83","57.87","2017/9/15 18:00:00","1748.4","609.27","120.07","10.5"
"53","XH808A417061802923","416.1","1511.07","1069.1","1762.2","28.83","32.53","26.5","63.63","2017/9/14 19:00:00","2568.03","1040.23","214.97","15.43"
"54","XH808A417061802923","403.97","1406.4","1114.03","1654.97","18.8","21.03","29","60.03","2017/9/15 13:00:00","1946.97","702.1","133.57","10.13"
"55","XH808A417061802923","404.93","1428.17","1236.6","1620.3","19.87","23.37","27.27","63.37","2017/9/15 19:00:00","2026.77","734.8","150.67","14.7"
