404.42	812.38	861.74	0.4	0.4	24	42	137.8	33.2	11.2	0.2
406.32	836.88	825.06	0.53	1.03	24	41.63	124	28.17	7.23	0.9
408.5	832.76	848.86	0.9	1.03	23.86	41.38	166.69	48.9	12.17	1.07
406.54	863.63	886.79	1.3	2.37	22.67	43.44	184.26	53.89	13.7	1.48
407.04	873.79	891.05	1.33	2.17	21.97	44.47	196.2	57.13	13.47	1.23
407.6	877.27	884.89	1.15	2.12	21	45	196.35	52	12.54	1.35
408.6	881.57	888.14	1.5	2.33	21	45	239.08	69.58	14.92	1.25
422.16	930.13	975.56	1.74	3.41	21	46	235	68.81	15.7	1.74
428.36	944.21	986.71	2.07	3.36	21.07	46	245.29	73.21	17.5	1.5
537.75	948.05	947.98	2.24	7.19	23.48	44.86	244.19	82.43	20.95	4.48
451.21	893.96	938.1	1.93	5.52	24	43.03	211.1	73.55	18.07	2.86
440.41	914.08	967.37	1.93	4.3	23.63	43.77	215.23	69.83	17.37	2.23
431.14	919.89	966.08	2.23	4.6	23	44	234.37	78.93	18.37	2.17
419.38	917.34	954.88	1.97	4.07	23	43.79	226.52	72.21	18.55	2.38
420.42	919.74	969.93	1.88	3.58	23	43.54	217.27	68.08	16.38	2.12
421	926.8	967.45	2.27	2.91	23	43	233.36	70.91	17.09	1.27
424.89	919.99	953.93	2.63	3.48	23	44	283.22	93.44	20.11	1.37
422.2	907.22	924.08	1.78	2.72	23	44	248.17	78	16.72	1.28
420.29	893.08	906.34	1.78	1.78	22	44	242.44	74.56	15.44	0.11
404.34	919.7	933.81	0.67	5.3	22	46.77	186.2	46.17	11.4	3.97
401.8	900.75	915.35	0.23	2.63	22	47.47	165.3	35.1	7.23	2.07
400.35	909.99	912.65	0	0.05	22	49	138.73	22.59	4.05	0.18
422.67	1106.37	1101.3	4.33	9	10.67	74	402.67	118.33	40	5.67
396.77	977.97	1192.22	3.67	8.87	11	71.27	357.83	104.27	33.97	5.13
395.53	1008.44	1267.31	2.5	4.4	8.17	86.5	366.9	81.5	24.33	3.07
396.63	999.23	1219.7	4.34	8.07	7.86	87.59	473.86	127.34	39.34	4.79
395.83	965.23	1178.95	3.37	6	8	85.83	426.87	108.73	29.6	3.37
394.03	957.49	1162.69	2.7	4.2	7.23	86.07	402.5	88.73	21.27	2.37
395.51	958.77	1157.42	3.9	6.1	6.97	87.9	477.43	128.83	31.87	3.23
396.7	967.52	1103.41	6.5	8.23	5.47	90.53	686.53	215.27	47.5	3.6
396.77	973.21	1118.68	5.87	7.53	4.53	93.07	651.27	197.13	47.23	3.13
399.59	961.06	1112.87	7.23	8.67	4.53	92.23	736.93	231.93	55.3	3.27
401.51	985.26	1111.45	8.17	9.9	4	93.03	809.73	265.83	59.5	3.63
394.33	938.35	1058.74	4.53	6.87	4.27	90.9	562.77	152	37.93	3.7
393.57	945	1036.89	5.73	7.35	2.69	92.88	653.42	189.5	44.5	3.23
393.89	988.24	1070.24	5.14	8.71	2	95.43	632.29	169	42.29	4.57
397.11	964.16	1012.15	5.36	6.55	1	95.73	670.18	176.55	43.09	3.27
397.91	977.39	1020.46	3.89	6.33	1	95.89	598.06	145.17	35.39	3.94
412.97	977.71	1030.08	4.2	6.03	0.47	96.33	595.2	141.07	36.23	3.37
423.2	988.01	1035.74	4.3	5.73	0	96.67	622.5	154.13	36.17	2.83
430.14	1011.93	1084.44	6.57	8.33	0.93	97.8	753.47	219.63	53.5	4.07
422.78	1046.98	1123.33	8.53	11.37	2.7	98.9	872.83	286.6	68.9	5.5
412.55	1040.96	1102.7	9.03	12.3	4.67	93.9	863.47	295.7	69.23	5.3
404.1	993.81	1121	9.4	11.37	5.37	90.6	869.47	301.93	68.87	4.07
402.9	974.03	1073.7	9.37	11.3	6.57	86.47	868.4	300.8	67.37	3.97
399.86	878.2	995.3	6.47	8.57	9.83	71.63	611.03	201.8	46.83	3.2
394.17	874.49	1039.59	5.86	9.69	9.14	68.24	579	186.66	43.03	4.59
399.8	982.91	1091.41	13.63	18.63	5.73	83.1	1114.5	421.3	100.23	7.77
423.34	1008.57	1095.59	14.97	17.97	3.62	89.76	1319.07	495.72	106.86	6.52
439.23	1011.32	1105.54	25.72	27.76	2.83	92.72	2137.9	854.59	182.24	8.86
451.46	1001.28	1086.76	54.97	56.93	2	94.55	4131.03	1782.38	397.69	16.34
463.3	988.26	1036.34	48.77	53.33	1.53	95	3894.67	1640.03	347.97	17.07
486.58	997.39	1072.95	54.9	57.97	1.77	96.3	4309.77	1819.77	387.53	17.77
497.04	992.1	1043.98	55.8	56.97	2.93	95.43	4381.43	1860.37	383	15.5
497.95	971.19	1021.78	68.83	70	2.21	95.07	5348.24	2295.34	468.79	17.34
486.85	971.17	1017.35	61.03	61.47	2	95.63	4863.67	2059.57	408.33	13.6
