0.4	24	42
0.53	24	41.63
0.9	23.86	41.38
1.3	22.67	43.44
1.33	21.97	44.47
1.15	21	45
1.5	21	45
1.74	21	46
2.07	21.07	46
2.24	23.48	44.86
1.93	24	43.03
1.93	23.63	43.77
2.23	23	44
1.97	23	43.79
1.88	23	43.54
2.27	23	43
2.63	23	44
1.78	23	44
1.78	22	44
0.67	22	46.77
0.23	22	47.47
0	22	49
4.33	10.67	74
3.67	11	71.27
2.5	8.17	86.5
4.34	7.86	87.59
3.37	8	85.83
2.7	7.23	86.07
3.9	6.97	87.9
6.5	5.47	90.53
5.87	4.53	93.07
7.23	4.53	92.23
8.17	4	93.03
4.53	4.27	90.9
5.73	2.69	92.88
5.14	2	95.43
5.36	1	95.73
3.89	1	95.89
4.2	0.47	96.33
4.3	0	96.67
6.57	0.93	97.8
8.53	2.7	98.9
9.03	4.67	93.9
9.4	5.37	90.6
9.37	6.57	86.47
6.47	9.83	71.63
5.86	9.14	68.24
13.63	5.73	83.1
14.97	3.62	89.76
25.72	2.83	92.72
54.97	2	94.55
48.77	1.53	95
54.9	1.77	96.3
55.8	2.93	95.43
68.83	2.21	95.07
61.03	2	95.63
52.55	2.9	95.21
36.86	3	94.95
29.53	2.53	94.63
24.17	1.09	94.78
20.76	0	95.65
20.69	0	96.69
16.35	0.19	97.15
3.14	2.72	88.83
3.07	4.07	82.55
3.73	5.33	76.73
8.2	6	77.03
9.66	5.83	79.07
7.93	5.57	78.6
6.79	6	74.38
9.43	6	76.63
6.4	5.83	76.8
6.7	5	89.2
6.57	5.03	95.17
9.83	6	96.6
5.87	5.23	94.63
9.3	5	95.67
8.7	5.1	97.83
3.6	6.53	98.43
1.17	7.47	96.7
0.68	8	96
1.69	8	97
1.93	8	95.66
1.73	8.07	93.2
2.13	9	90.37
3.07	9.23	88.83
3.3	10.4	88.2
3.15	10	88.23
3.55	8.64	100.5
3.53	8.53	98.23
5.7	8	98.63
6.07	8	99
7.27	8	99
7.03	8.38	99
4.37	8	99
4.92	8	99
3.7	7	97.6
1.07	6.45	97.52
1.27	6.03	95.9
1.4	6.27	93.9
1	7	90.27
0.93	7.03	88.33
0.97	7.83	86.37
0.97	7.1	85.73
1.03	7	84.63
4.9	6.07	85.2
12.5	5.47	86.8
8.7	4.77	89.2
10.97	4	91.5
7.57	4.73	87.8
14.3	5	89.23
17.13	5.97	93.73
11.93	6	93.11
13.21	5.55	92.07
12	3.63	93
15.7	2.39	96.26
8.23	2.81	96.46
3.71	3	96
3	4	90.6
6.67	4	88.33
5.97	4	88.63
4.89	4.93	86.32
6.47	6	83.03
8	6.67	81.33
7.53	7	79.23
8.27	7	79.7
9.5	6.67	78.47
21.87	6	82.33
18.03	6	84.3
25.9	5.8	85.9
27.03	5	87.07
17.87	5	86.7
23.57	4.47	89.13
33.23	4	92.57
43.27	4	92.8
37.76	3.31	93.38
38.77	3	95.5
38.11	3	95
14.63	3.17	94
11.2	4	94.07
6.48	4	95.59
4.67	4	96.9
2.73	4.97	97.33
2.97	5.47	96.9
2.33	6.1	96.67
1.53	7	94.8
1.33	7.6	92.63
3.77	7	96.33
3.5	7	96.47
7.2	6.17	97.6
7.23	6	97.9
6.07	6	98.1
5.47	6	97
4.5	6	97.13
6.21	6	97.14
7.23	6	97
5.52	6	96.97
5.52	6	97.48
6.07	6	96.86
4.22	6	96.78
5.3	6	96.27
6.97	5.5	96.97
9.23	5	97.87
8.47	6.1	97.03
6.6	7.93	90.7
5.4	8.87	85.43
4.97	11.2	76.57
4	10.3	75.03
4.1	9.6	74.8
4.43	7.93	82.8
9.73	7	88.7
14.93	6.17	90.73
20.27	6	92.93
24.97	6	93
27.9	6	92.9
32.1	6	93
34.9	6	94.17
32.67	6.8	94.6
19.13	6.47	95.17
13.83	6	96
11.25	6	96
8.14	6	96.46
5.93	6	96
6.24	6	96.1
6.93	6.7	95.17
6.13	7	93.87
6.97	7	92.97
5.83	7	91.73
6.23	7.07	92.6
5.97	7	95.37
3.97	6.73	98
4.4	6	98.93
3.72	6.41	97.97
4.1	7	97.3
4.33	7	98.43
2.83	7	96.7
2.43	7	93.93
1.67	7.97	89.67
1.5	7.23	92.97
1.58	7	94.21
1.39	7.11	94.11
2.15	7.3	96.37
1.33	7.93	97.47
1.07	8	96.11
1.39	8	96.29
1.9	8	96.23
1.83	8.97	94.67
1.67	9.5	90
1.7	10.23	86.23
1.87	11.1	83.03
1.93	11.6	81.07
1.83	9.53	95.33
1.83	9	97.67
1.73	9	99.37
1.23	9	100
1.07	9	100.6
1.03	9.13	100.97
2.1	10	100.23
1.33	8.73	97.83
1.37	8	96.47
2.5	7.08	96.62
2	7	97.36
0.88	6.47	97.41
1.09	6.26	98.09
1.54	6	98.79
1.93	5.2	97.97
2.2	6.07	97.2
1.63	8.1	90.57
1.7	10.83	76.8
2.3	10.9	71.23
2.4	9.8	74.4
2.17	8.67	76.47
1.83	7.73	81.93
4.23	6.97	89.03
7.27	6	92.3
10.93	5.2	94.23
11.73	5.7	94.73
13.57	4.93	93.5
20	3.13	96.6
23.87	3	98.23
26.86	3	98.07
17.21	2.82	99.32
13.18	4	98.76
15.35	4	97
11.63	3.03	97.33
10.63	3	96
10.13	2.79	95.71
9.77	2.37	96.53
10.2	3	93.97
12.77	3.73	91.13
13.3	4.83	86.57
9.73	6.23	79.9
6.28	7	74.76
8.07	5.2	84.37
9.87	3.07	91.6
19.45	2	95.07
