0.739	31	8	61	32	58
0.743	29	7	65	31	51
0.729	27	8	71	30	48
0.725	25	8	80	30	43
0.736	24	8	84	30	42
0.74	20	8	91	32	42
0.75	21	8	90	37	49
0.776	20	8	89	41	54
0.803	19	8	85	47	62
0.815	18	9	82	50	63
0.792	17	8	82	49	58
0.796	17	8	78	52	61
0.794	18	9	76	51	58
0.83	21	9	70	49	55
0.875	27	8	64	42	51
0.918	42	9	48	48	63
0.924	40	9	49	43	71
1	38	8	53	40	60
0.937	43	9	66	48	87
0.856	37	10	88	47	91
0.93	32	10	88	43	75
0.863	30	9	83	50	80
0.837	33	8	77	53	84
0.882	43	9	63	60	98
0.922	51	9	52	64	102
0.938	43	9	56	70	101
0.917	34	8	63	69	93
0.933	36	9	56	74	97
0.98	34	8	54	77	100
0.986	32	8	54	78	96
1.009	24	8	63	78	88
1.004	20	8	69	72	82
0.974	20	8	69	72	83
1.194	19	9	66	77	83
1.41	22	10	55	85	97
1.35	19	10	60	77	85
1.301	20	10	64	65	70
1.262	20	10	63	66	74
1.139	22	9	61	62	74
1.22	34	10	47	65	87
1.366	53	15	23	74	112
1.138	40	11	39	71	102
0.98	26	9	56	67	85
0.951	26	8	58	65	85
1.095	24	9	61	65	87
1.158	27	8	56	65	93
1.203	26	8	56	61	84
1.289	31	8	48	61	78
1.26	29	8	49	58	72
1.203	27	8	51	51	63
1.181	25	8	51	46	52
1.144	35	8	34	51	60
1.036	34	7	31	49	51
0.944	27	7	39	41	40
0.915	23	7	43	38	37
0.992	23	7	41	41	41
1.02	20	7	46	37	34
0.944	17	7	49	34	29
1.038	16	7	48	34	30
1.056	24	7	32	39	40
0.937	24	7	28	34	27
0.925	25	7	29	32	25
1	40	7	9	34	33
1.123	45	7	4	39	42
1.103	46	7	7	34	40
1.202	47	8	5	44	55
1.244	49	8	3	50	69
1.222	50	8	5	46	60
0.987	35	8	22	28	28
0.94	34	7	24	20	16
1.12	40	7	16	20	19
1.196	50	7	3	21	28
1.129	53	7	2	19	23
1.137	54	6	1	18	22
1.256	55	7	1	31	45
1.045	51	7	1	25	28
0.933	49	7	1	19	18
0.724	38	6	13	13	6
0.637	32	6	24	11	1
0.592	27	6	34	10	1
0.589	26	6	34	10	2
0.591	24	6	35	11	3
0.594	22	6	34	11	4
0.62	24	6	26	11	6
0.84	21	6	19	9	1
1.119	20	6	8	7	1
1.192	24	6	3	7	4
1.227	23	6	4	6	6
1.278	27	6	3	6	8
1.34	27	6	5	6	13
1.69	28	6	4	7	17
1.047	36	6	10	9	11
0.923	35	6	19	9	8
0.872	37	6	24	10	13
0.886	38	6	26	12	17
0.924	37	6	27	32	23
0.952	35	6	31	42	25
