实际值	线性回归	决策树	SVR	随机深林	GBDT
4.2	6.946810133973226	7.800000000000001	151.8162226680545	6.320366666666667	5.897168859555439
62.87	63.85231503259756	63.621176470588246	167.81033569324106	63.249914285714276	61.83253435960886
32.43	34.96757815725935	33.34954545454546	128.61653148552676	33.67231984126985	34.98114209036756
44.3	41.454200516508195	42.87625	156.51967167881335	43.84403791208791	42.55514395150465
127.4	122.5245469299524	130.3133333333333	288.0288743676006	127.58962857142856	129.66573159454214
23.43	22.4950605695268	24.1775	137.07240496538387	23.180635003885	23.348712636871713
71.67	70.69689757687358	71.65666666666667	250.38204773893685	69.44945	70.10170619424454
59.17	58.34040370954369	58.10125	192.58470458134374	59.082559523809515	57.94647803463594
125.13	125.05416468032827	128.99999999999997	297.827289041587	130.14304523809523	129.96480776166658
65.9	67.98549247723172	67.25	165.09519012282774	66.29393636363636	67.95157098045242
48.2	45.79698122583481	46.3	207.50397982853104	47.872345021645025	48.12837217888092
10.93	14.284165776011648	9.714500000000001	149.4237422808073	10.163269985362657	12.173298832670817
94.07	100.01611473767835	98.828	216.70492331360072	97.07983333333334	98.15895782566531
60.57	65.10875491608309	59.650000000000006	147.80268460439365	60.988080158730156	60.22849201305024
57.97	60.231822826893655	58.10125	153.98390443221408	58.71449126984126	56.1948079958979
51.53	50.65987609389302	49.445	170.86169484450895	51.34017142857142	51.78563793356554
71.43	71.70378448833468	67.25	179.32286174628655	68.30693888888891	70.03623778533435
96.63	94.19897756345622	93.96923076923078	217.68076996226574	95.1868222222222	94.64757236146244
54.53	54.82399037129236	49.445	145.5698332338207	53.08040476190477	51.314981595109344
43.67	43.25925190470013	42.87625	156.5589333035857	43.72659175824175	42.60817142728761
101.37	96.86737137294148	103.11375000000001	252.78948541308554	101.512475	102.23642400188893
43.4	43.23441402856941	42.87625	172.68735784267716	43.84885	42.42626398347792
69.3	68.44101281366996	67.25	146.4542071849887	66.32161818181818	69.86318466821785
40.6	39.176480717897824	39.58	162.1884413596811	38.874658058608055	38.39732570885117
99.53	94.63056989087697	93.96923076923078	218.6368532905547	95.2658119047619	97.65663854841269
102.3	96.90931184405294	103.11375000000001	241.1611928362107	101.79480833333332	101.06923790568783
101.97	96.9748139070808	103.11375000000001	245.67193599455322	101.512475	101.97024470371484
52.53	54.89472573894666	55.28727272727273	134.03410970084371	55.12896190476191	53.76075892009393
55.9	59.789062196450764	59.650000000000006	140.24618719668118	58.447134920634916	56.96719444495916
50.6	54.573685427678576	49.445	137.7582856103906	51.38707142857143	48.832085770328696
51.7	51.52782747616515	49.445	150.82828484769257	51.05943333333334	50.85904247390547
50.23	51.926946109016214	49.445	133.05371950840336	50.17050476190475	49.689157862717494
72.47	76.30956642598593	67.25	147.0043629182613	67.86749999999999	70.2260326428749
94.33	90.03370465950248	93.96923076923078	220.52293433438635	94.08282222222222	94.6306067793203
65.23	71.37157829272067	67.25	153.55624859114144	65.47795454545454	66.26526017535562
86.77	90.11630666871567	89.16666666666667	176.7319643380875	89.3574	87.81172255719606
48.9	48.01171783221389	49.445	133.72977904221193	48.2424199134199	46.77898722390705
70.6	73.45042747601211	67.25	145.09038108205326	66.99680000000001	68.47894802706647
97.79	93.66339068758482	93.96923076923078	236.86615019263377	97.00002222222223	94.47817351812247
