实际值	线性回归	决策树	SVR	随机深林	GBDT
657.8699999999999	712.8907384410471	621.446	696.0635373063877	631.53	650.7813527787671
734.27	792.8383508340924	810.64	746.863402992881	788.507	754.5659201446646
1091.07	1136.2583834768427	1106.33	1141.8389692246128	1153.7899999999997	1088.8234040280952
575.07	603.1110712575801	541.7286666666666	616.9097745344484	564.42	577.1503976930969
510.6	445.1235052920896	435.2965384615384	457.2114583306724	489.97974999999997	496.56208452788746
750.23	724.9261929832305	703.8299999999999	781.8096229041389	658.654	641.4302196600803
382.7	355.97557077940314	435.2965384615384	402.0888959736353	434.096	417.96871463163984
620.73	548.8616995604773	585.3663636363636	564.5229096611291	563.0588750000001	518.846912010099
467.1	413.38745587069184	435.2965384615384	426.92496961317636	449.44000000000005	441.4677044901796
912.47	910.1660634119247	931.86	897.3569759688568	946.9114999999999	904.3882228521411
332.5	325.2584250714671	387.3596	366.5924866646361	378.68500000000006	356.9577549973335
695.0	743.8186580653859	740.75	720.5553010594402	727.6569999999999	717.6565820116978
873.4	865.8531870783321	886.9	807.1641770906981	857.572	877.1423111873163
1036.87	1059.7687915220795	1247.37	1006.19145972246	1077.6555	1104.1581368672346
810.47	855.8487250588912	767.312	811.4718137222344	819.6940000000001	817.039207821984
585.7	629.5374519383539	541.7286666666666	633.4565608504735	608.02325	575.2739272078311
936.17	847.1227923350663	767.312	825.8738374840995	840.8689166666667	825.9984831586523
627.7699999999999	678.6766654052346	602.632	616.7963143444225	630.299	653.3247387139661
688.83	783.6902916738779	810.64	733.410367179288	794.84	749.517543558693
624.4	622.9584924567743	562.4	588.3200451893584	612.3717999999999	583.2246093323871
397.8	470.70131312902936	435.2965384615384	431.2063917842447	465.60574999999994	463.431057911833
473.20000000000005	535.4009710688753	639.43	508.6065679661623	564.5369999999999	501.08519510918745
1412.1	1202.1623148323285	1194.9799999999998	1095.5071268275342	1237.8960000000002	1266.7391972092025
479.03	545.6932123203683	639.43	530.8616663159739	588.087	554.294423738661
743.13	748.0711693392201	810.64	663.2974112505417	777.5550000000001	774.6350724470277
502.5	551.39646420044	505.61833333333334	488.919412392871	529.847	504.4611482643643
446.7	498.32520332514446	505.61833333333334	454.66128574701554	487.14300000000003	466.83630949724045
1082.4	1209.8176928585867	1106.33	1167.446611454055	1247.8190000000002	1281.9783980545278
