实际值	线性回归	决策树	SVR	随机深林	GBDT
1050.0300000000002	882.0429178830894	933.6622222222222	841.8184221837571	953.27575	947.5233575127164
1204.2	1112.909100487204	1050.9210526315787	1157.7817734386674	1168.4435833333332	1164.9674454443616
1533.87	1819.1255552188695	1524.3999999999996	1808.5759118231076	1540.2416666666668	1559.307193275838
948.23	955.889673497653	1050.9210526315787	982.1008479212638	978.4639999999999	962.5386200947474
893.47	779.7103438800534	875.4644444444446	1031.5767627206537	875.6351	879.8894055339092
1041.67	1291.171813291397	1230.9677777777779	1295.1320063362898	1188.9045	1123.3706680520827
720.97	702.163925760608	641.6850000000001	749.1460587351767	694.7458333333334	670.0601765707318
923.87	973.2476613294953	972.392	1008.1103517294138	1015.3183333333334	1016.9952354478859
835.4000000000001	805.3517340958362	840.3846666666666	1005.0113104728822	829.0740000000001	849.3111410361622
1456.1	1517.5807471295116	1449.4292307692308	1561.4287831524516	1406.355	1404.855246611285
615.73	625.1644568283288	625.27	655.8707102035033	632.2718333333333	613.7066954730712
1085.17	950.1019189052499	1050.9210526315787	903.2032535222787	1057.275	1072.86104908125
1438.6	1490.8153873258148	1395.5549999999998	1555.3324768958873	1386.2456666666667	1389.1730324505274
1564.33	1675.8131943137196	1524.3999999999996	1736.3779886684738	1536.239	1499.9402630450236
1295.0	1286.030761629771	1291.214	1347.161761573158	1309.603	1294.792714196361
997.8	985.0194270469161	1050.9210526315787	1003.8884357026029	1022.398	980.408874308006
1361.0	1416.0265416903867	1245.8033333333333	1468.870176309299	1345.0970000000002	1407.566857028286
1014.53	1000.817354145253	1105.355	1142.0298113058225	1086.6083333333331	1045.368524034072
1068.8	1083.9248661928082	1050.9210526315787	1132.0786730590005	1107.76375	1121.8828929041565
882.97	873.7562443566432	882.5199999999999	904.5871155220161	911.564	911.0726293168151
729.8	610.7074806310021	736.0	826.3615934194884	711.1421666666665	704.7843740868036
785.6	731.9410709422278	690.635	765.79872436957	768.3843666666667	777.6387394654189
1575.27	1852.8812310887756	1700.4433333333332	1932.504227154238	1609.467	1658.2423006036938
810.37	751.9944287033506	690.635	776.7847076764829	794.5390333333334	769.7922348137602
1098.77	984.0440219825455	985.43	1130.806027515357	1088.431	1048.7637909001005
819.43	708.322404326475	854.0699999999999	929.194083194719	860.8585333333333	793.6356605840206
766.1	655.636929694722	818.3299999999999	863.1240556161424	750.7760000000001	753.2624951368743
1698.2000000000003	1876.3215197698646	1524.3999999999996	1899.9732676486183	1557.7963333333337	1642.6086966139333
1694.23	1882.9121126808595	1524.3999999999996	1917.2946713763158	1566.1240000000003	1632.0107892893693
1641.5300000000002	1799.5130991500132	1524.3999999999996	1824.321813787421	1539.862	1487.2377395730687
1302.8	1305.6510895297088	1260.5520000000001	1323.2795571315105	1230.957	1200.0296980786086
