实际值	线性回归	决策树	SVR	随机深林	GBDT
390.4	394.1369631273685	395.91479166666664	418.8642742578958	393.4093333333334	392.498904430141
406.63	400.6014915288232	425.135	421.6276841681713	414.103	404.13184841884186
396.23	389.13456063329505	398.55179856115126	409.59829441370266	398.68	401.2021300459701
391.9	404.65737465568697	391.9685714285714	421.2518627286347	394.2975	390.8367386473524
397.93	410.8874544174336	402.1042857142857	432.00825633349183	398.269	399.84128824754526
393.6	397.115653303548	401.774	418.18446549872453	396.047	398.5349506889586
429.4	428.13809337506916	424.33	425.6088896253535	422.486	440.25506798706164
414.97	413.4684048679006	418.8675	424.4584581244595	410.729	407.68239160293354
417.1	408.85006412393324	429.17	431.78842537500407	424.56600000000003	419.079408935917
410.43	406.21038453507936	416.63882352941175	419.4629468378175	415.432	416.1650302549073
400.13	408.03524640434665	391.9685714285714	422.7959430980435	401.54066666666665	406.6968265905756
395.57	393.8489784711651	395.91479166666664	418.5896039701708	397.13733333333334	395.80726735526855
431.1	417.1887071286499	416.63882352941175	423.07774104508394	413.291	415.91659599760237
406.43	390.12766048083887	398.55179856115126	416.05749394637616	400.42	398.5588032520907
403.3	393.6774849635751	398.55179856115126	420.76885355691456	399.0493333333333	398.3079474346946
404.57	405.7434936515653	391.9685714285714	421.8008721672928	398.1625	397.5594438231369
417.63	415.1440527002997	416.63882352941175	421.6131968954769	420.437	427.1962114352113
406.4	418.7566447167223	395.9863636363636	424.99879106700917	402.18399999999997	405.17264201984943
390.77	391.0290523783476	398.55179856115126	419.6584408338956	393.98251880877746	391.44345112102474
389.9	399.5294887744317	391.9685714285714	420.94621895115233	390.32033333333334	387.98062517493037
393.7	424.4715003186167	395.9863636363636	426.3862898053502	404.96000000000004	403.2526767649142
390.53	401.1611050580119	391.9685714285714	420.9415393163221	392.206	404.1516859800122
395.43	396.96214939957576	398.55179856115126	411.91454721708305	399.24	404.6287533936054
384.23	398.03985751667403	391.9685714285714	420.50668928787286	390.532	403.2224220356922
403.47	437.89243847412286	395.9863636363636	424.3744432125035	402.13	402.7815113053221
391.83	429.8429931834088	395.9863636363636	426.2206327145991	406.1905	403.83630630349467
391.57	422.98074138140464	395.9863636363636	426.39486054715053	398.52	402.20835893327603
394.23	384.3044050806513	398.55179856115126	409.5594296309565	399.37176666666664	395.79201708001443
396.9	381.7907780857503	398.55179856115126	409.62530836245935	398.8657666666667	394.9795707698438
401.57	388.25897599256905	398.55179856115126	410.6093056181034	398.8657666666667	393.5512210415036
